射手座	'summary': '学会取舍&nbsp;重塑人生对大多数射手座而言，未来一年将是在痛苦历练之后终于学会取舍，压力之下重塑人生的一年。过去两年，射手座经历了土星的碾压，人生的各方面都备受考验，虽然也被推上重要位置或是获得他人认可，但很多原来行之有效的方式却变得不那么好用，“打猎”也是频频失手，让你们必须学会另一套更加经济有效的务实方式。2017年，土星虽然还会几乎全年停留在射手座，但却与表现宫的天王星联动，让射手座有望突破自身限制，创新出一套独特的方式去继续挑战世界，不论是自身还是情感状态都会大不一样。，但也注意，当下的你需要学会低下头先看清楚自身所处环境，才可能真正再未来的目标与眼前的现实相结合，另辟蹊径走出一条“少有人走的路”，用自己的方式去实现自我，利用他人助力实现双赢，并为之后的重新出发做好准备。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%B0%84%E6%89%8B%E5%BA%A7&ie=utf8&_sug_=y&_sug_type_=&w=01019900&sut=4733&sst0=1500469468269&lkt=0%2C0%2C0   公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%B0%84%E6%89%8B%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

天秤座	'summary': '把握机会&nbsp;从小做起对天秤座来说，未来一年将是需要把握机会，尝试从小做起，颠覆过往的一年。从2010年开始，很多天秤座的生活彻底颠覆，原有的一切都已支离破碎，你们习惯了伏低做小，早就忘了当年的风光。但随着木星进入命宫，这也将是你们终于开始翻身的一年。因为过去几年折腾得太厉害，原有的基础已经无法再用，你们必须学会放下对过去的留恋，清楚认识到自己的现状，不以善小而不为，从身边的人和事做起，借助合作之力帮助自己东山再起。直到8月底之前，木土六合相位都会持续作用你们的命宫和亲友宫，所以你可以尝试把关注点放在身边那些可能曾经不起眼的人和机会上，凡事亲力亲为，多沟通多吆喝，尝试把现有人脉理顺，才能逐渐发现最适合自己的领域和机会在哪里。8月的两次日月食也将引动你们的恋情与交友宫位，或是怀孕生子，或是经由进入新的朋友圈和群体，实现个人层次的升华，或是被贵人提携终于找到自己合适的位置。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E5%A4%A9%E7%A7%A4%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E5%A4%A9%E7%A7%A4%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

摩羯座	'summary': '隐忍数年&nbsp;终成大器对大多数摩羯座而言，未来一年将是数年隐忍之后，终究修成神功的一年。在明年，摩羯座的命主星土星还将在自身的因果宫内停留将近一年，这意味着虽然成功在望，但大多数时候你们还是要继续修炼忍者神功，压住自己内心的疑问和迷茫，坚持将手头事情做好，不让心情影响现有的基本盘。但另一方面，木星会在事业宫照耀，也让你们的能见度和成功率都大大提升，也许你还是觉得大材小用或是当下做的并不是自己最理想的工作，但结果却非常喜人，也会给后续带来更多多元发展的机会。土天冲也会持续影响你的家宅宫，部分摩羯座会购置房产或是转换地方（搬到另外一个城市乃至国家），另一些摩羯座则会发现自己曾经的认知再度经历巨变，只有改变现有的内在状态，才可能实现下一步。
搜狗搜索公众号文章：http://weixin.sogou.com/weixin?type=2&s_from=input&query=%E6%91%A9%E7%BE%AF%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=  公众号：http://weixin.sogou.com/weixin?type=1&s_from=input&query=%E6%91%A9%E7%BE%AF%E5%BA%A7&ie=utf8&_sug_=n&_sug_type_=

水瓶座	'summary': '放平心态&nbsp;选择未来对大多数水瓶座而言，未来一年是不缺风光，却需要自己放平心态，为未来做出选择的一年。命主星土星还将在你们的朋友宫和愿望宫停留几乎整年，你将继续检验和审视自己的朋友圈，抛离“不良资产”，只选择那些与你可以真正“同甘苦共富贵”的朋友共同前进。木天拱持续作用你的人际宫位，也将改变你过去两年一贯深居简出的状态，令当下被无形“禁锢”的状态终于破局，有选择地活跃于各个社交舞台之上，并借助他人之力实现个人价值和水平的提升。对水瓶座来说，难点将不在外界环境好坏（因为已经在2016年形成良性循环），而在于自己可否以坦然心态接受他人的好意，以及明白不切实际的想法必须抛弃才可能更好地出发。木星持续发力也会让你更加明确自己应该选择怎样的方向，抽丝剥茧只留下那些真正适合自己的选择和内涵，进入真正合适自身的领域，尤其利好出版、旅行、考试、出国、高等教育等等行业。
